movieCd,movieNm,movieNmEn,movieNmOg,watchGradeNm,openDt,showTm,genreNm,peopleNm
20185986,진범,The Culprit,,,20190710,100,,
20183782,기생충,PARASITE,,,20190530,131,,
20185353,기방도령,HOMME FATALE,,,20190710,110,,
20124079,"광해, 왕이 된 남자",Masquerade,,,20120913,131,,
20184047,토이 스토리 4,Toy Story 4,,,20190620,99,,
20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,Butt Detective The Movie,劇場版おしりたんてい：カレーなる事件,,20190711,68,,
20121108,러너,The Runner,,,,9,,
20196309,스파이더맨: 파 프롬 홈,Spider-Man: Far From Home,,,20190702,129,,
20193013,극장판 샤이닝스타:새로운 루나퀸의 탄생!,Shining Star: Lunar Queen,,,20190718,77,,
20192151,미드소마,Midsommar,,,20190711,147,,
20183867,알라딘,Aladdin,,,20190523,127,,
